meta,protein,score
CIDs00091493,511145.b1119,0
CIDs00091493,511145.b2379,0
CIDs00091493,511145.b3729,1
CIDs00091493,511145.b0451,0
CIDs00091493,511145.b2942,0
CIDs00091493,511145.b0222,0
CIDs00091493,511145.b4139,0
CIDs00091493,511145.b1981,0
CIDs00091493,511145.b4039,0
CIDs00091493,511145.b3001,0
CIDs00091493,511145.b0417,0
CIDs00091493,511145.b2153,0
CIDs00091493,511145.b2871,0
CIDs00091493,511145.b3559,1
CIDs00091493,511145.b0650,0
CIDs00091493,511145.b1740,0
CIDs00091493,511145.b2751,0
CIDs00091493,511145.b4053,0
CIDs00091493,511145.b1493,0
CIDs00091493,511145.b2053,0
CIDs00091493,511145.b0025,1
CIDs00091493,511145.b2154,0
CIDs00091493,511145.b4267,0
CIDs00091493,511145.b4087,0
CIDs00091493,511145.b0125,0
CIDs00091493,511145.b0077,0
CIDs00091493,511145.b4086,0
CIDs00091493,511145.b3093,0
CIDs00091493,511145.b3451,0
CIDs00091493,511145.b1866,0
CIDs00091493,511145.b0152,0
CIDs00091493,511145.b3572,0
CIDs00091493,511145.b3365,0
CIDs00091493,511145.b0484,1
CIDs00091493,511145.b2563,0
CIDs00091493,511145.b3198,0
CIDs00091493,511145.b2937,0
CIDs00091493,511145.b3005,0
CIDs00091493,511145.b0997,0
CIDs00091493,511145.b1062,0
CIDs00091493,511145.b3640,0
CIDs00091493,511145.b3774,0
CIDs00091493,511145.b3189,0
CIDs00091493,511145.b3503,0
CIDs00091493,511145.b3772,0
CIDs00091493,511145.b2129,0
CIDs00091493,511145.b2912,0
CIDs00091493,511145.b0331,0
CIDs00091493,511145.b3957,0
CIDs00091493,511145.b4477,0
CIDs00091493,511145.b1394,0
CIDs00091493,511145.b0756,0
CIDs00091493,511145.b2679,0
CIDs00091493,511145.b1198,0
CIDs00091493,511145.b3454,0
CIDs00091493,511145.b3517,0
CIDs00091493,511145.b2662,0
CIDs00091493,511145.b0307,0
CIDs00091493,511145.b3993,0
CIDs00091493,511145.b3360,0
CIDs00091493,511145.b0334,0
CIDs00091493,511145.b2708,0
CIDs00091493,511145.b1897,0
CIDs00091493,511145.b2975,0
CIDs00091493,511145.b3493,0
CIDs00091493,511145.b0242,0
CIDs00091493,511145.b1761,0
CIDs00091493,511145.b2114,0
CIDs00091493,511145.b3469,0
CIDs00091493,511145.b3426,0
CIDs00091493,511145.b2476,0
CIDs00091493,511145.b2255,0
CIDs00091493,511145.b0151,0
CIDs00091493,511145.b0827,0
CIDs00091493,511145.b3787,0
CIDs00091493,511145.b2134,0
CIDs00091493,511145.b3734,0
CIDs00091493,511145.b3058,0
CIDs00091493,511145.b1676,0
CIDs00091493,511145.b0048,0
CIDs00091493,511145.b3679,0
CIDs00091493,511145.b3603,0
CIDs00091493,511145.b1611,0
CIDs00091493,511145.b1033,0
CIDs00091493,511145.b3941,1
CIDs00091493,511145.b0727,0
CIDs00091493,511145.b2143,0
CIDs00091493,511145.b0517,0
CIDs00091493,511145.b4291,0
CIDs00091493,511145.b0243,0
CIDs00091493,511145.b3709,0
CIDs00091493,511145.b4055,0
CIDs00091493,511145.b0444,0
CIDs00091493,511145.b3708,0
CIDs00091493,511145.b4160,0
CIDs00091493,511145.b2022,0
CIDs00091493,511145.b3035,0
CIDs00091493,511145.b1109,0
CIDs00091493,511145.b2925,0
CIDs00091493,511145.b3425,0
CIDs00091493,511145.b3458,0
CIDs00091493,511145.b1093,1
CIDs00091493,511145.b2034,0
CIDs00091493,511145.b3779,0
CIDs00091493,511145.b0776,0
CIDs00091493,511145.b3750,0
CIDs00091493,511145.b2257,0
CIDs00091493,511145.b2687,0
CIDs00091493,511145.b2315,0
CIDs00091493,511145.b1395,0
CIDs00091493,511145.b2813,0
CIDs00091493,511145.b2023,0
CIDs00091493,511145.b0789,0
CIDs00091493,511145.b0907,0
CIDs00091493,511145.b0974,0
CIDs00091493,511145.b0110,0
CIDs00091493,511145.b3029,0
CIDs00091493,511145.b2500,0
CIDs00091493,511145.b0386,0
CIDs00091493,511145.b2323,0
CIDs00091493,511145.b2234,0
CIDs00091493,511145.b3432,0
CIDs00091493,511145.b3266,0
CIDs00091493,511145.b1444,0
CIDs00091493,511145.b1982,0
CIDs00091493,511145.b2615,0
CIDs00091493,511145.b4111,0
CIDs00091493,511145.b4381,0
CIDs00091493,511145.b2913,0
CIDs00091493,511145.b1064,0
CIDs00091493,511145.b1125,0
CIDs00091493,511145.b0595,0
CIDs00091493,511145.b2041,0
CIDs00091493,511145.b4254,0
CIDs00091493,511145.b0630,0
CIDs00091493,511145.b0121,0
CIDs00091493,511145.b3733,0
CIDs00091493,511145.b2262,0
CIDs00091493,511145.b2765,0
CIDs00091493,511145.b1919,0
CIDs00091493,511145.b0809,0
CIDs00091493,511145.b4005,0
CIDs00091493,511145.b0066,0
CIDs00091493,511145.b0830,1
CIDs00091493,511145.b3748,0
CIDs00091493,511145.b1326,0
CIDs00091493,511145.b3371,0
CIDs00091493,511145.b4392,0
CIDs00091493,511145.b3736,0
CIDs00091493,511145.b0679,0
CIDs00091493,511145.b2663,0
CIDs00091493,511145.b3845,0
CIDs00091493,511145.b0755,0
CIDs00091493,511145.b3621,0
CIDs00091493,511145.b2260,0
CIDs00091493,511145.b3541,0
CIDs00091493,511145.b1693,0
CIDs00091493,511145.b0049,0
CIDs00091493,511145.b2028,0
CIDs00091493,511145.b2039,0
CIDs00091493,511145.b2557,0
CIDs00091493,511145.b2254,0
CIDs00091493,511145.b1483,0
CIDs00091493,511145.b3791,0
CIDs00091493,511145.b2303,0
CIDs00091493,511145.b3431,0
CIDs00091493,511145.b0462,0
CIDs00091493,511145.b3771,0
CIDs00091493,511145.b0829,0
CIDs00091493,511145.b3744,0
CIDs00091493,511145.b0494,0
CIDs00091493,511145.b3794,0
CIDs00091493,511145.b0072,0
CIDs00091493,511145.b2281,0
CIDs00091493,511145.b2278,0
CIDs00091493,511145.b0308,0
CIDs00091493,511145.b0628,0
CIDs00091493,511145.b0154,0
CIDs00091493,511145.b4177,0
CIDs00091493,511145.b3591,0
CIDs00091493,511145.b3959,1
CIDs00091493,511145.b0828,0
CIDs00091493,511145.b0037,0
CIDs00091493,511145.b1519,0
CIDs00091493,511145.b0414,0
CIDs00091493,511145.b3781,0
CIDs00091493,511145.b0928,0
CIDs00091493,511145.b1192,0
CIDs00091493,511145.b0908,0
CIDs00091493,511145.b1094,1
CIDs00091493,511145.b0757,0
CIDs00091493,511145.b4014,1
CIDs00091493,511145.b0207,0
CIDs00091493,511145.b3627,0
CIDs00091493,511145.b1474,0
CIDs00091493,511145.b3807,0
CIDs00091493,511145.b3571,0
CIDs00091493,511145.b0968,0
CIDs00091493,511145.b3092,0
CIDs00091493,511145.b2328,0
CIDs00091493,511145.b1524,0
CIDs00091493,511145.b2883,0
CIDs00091493,511145.b2508,0
CIDs00091493,511145.b2422,0
CIDs00091493,511145.b1605,0
CIDs00091493,511145.b2688,0
CIDs00091493,511145.b2927,0
CIDs00091493,511145.b2480,0
CIDs00091493,511145.b0720,0
CIDs00091493,511145.b0957,0
CIDs00091493,511145.b0825,0
CIDs00091493,511145.b1636,0
CIDs00091493,511145.b1993,0
CIDs00091493,511145.b3201,0
CIDs00091493,511145.b3447,0
CIDs00091493,511145.b0578,0
CIDs00091493,511145.b0459,0
CIDs00091493,511145.b3608,0
CIDs00091493,511145.b3945,0
CIDs00091493,511145.b3428,0
CIDs00091493,511145.b4260,0
CIDs00091493,511145.b0932,0
CIDs00091493,511145.b0261,0
CIDs00091493,511145.b1719,1
CIDs00091493,511145.b0657,0
CIDs00091493,511145.b4072,0
CIDs00091493,511145.b1440,0
CIDs00091493,511145.b1443,0
CIDs00091493,511145.b0972,0
CIDs00091493,511145.b2210,0
CIDs00091493,511145.b2564,0
CIDs00091493,511145.b0778,0
CIDs00091493,511145.b0863,0
CIDs00091493,511145.b2764,1
CIDs00091493,511145.b2780,0
CIDs00091493,511145.b2810,0
CIDs00091493,511145.b1441,0
CIDs00091493,511145.b1262,1
CIDs00091493,511145.b2366,0
CIDs00091493,511145.b3924,0
CIDs00091493,511145.b3177,0
CIDs00091493,511145.b0485,0
CIDs00091493,511145.b1301,0
CIDs00091493,511145.b0118,0
CIDs00091493,511145.b2251,0
CIDs00091493,511145.b3564,0
CIDs00091493,511145.b2903,0
CIDs00091493,511145.b2103,0
CIDs00091493,511145.b0822,0
CIDs00091493,511145.b1852,0
CIDs00091493,511145.b2329,0
CIDs00091493,511145.b0452,0
CIDs00091493,511145.b0142,0
CIDs00091493,511145.b3856,0
CIDs00091493,511145.b0596,0
CIDs00091493,511145.b2682,0
CIDs00091493,511145.b0732,0
CIDs00091493,511145.b0754,0
CIDs00091493,511145.b3455,0
CIDs00091493,511145.b1819,0
CIDs00091493,511145.b3610,0
CIDs00091493,511145.b0654,0
CIDs00091493,511145.b0159,0
CIDs00091493,511145.b3956,0
CIDs00091493,511145.b3958,0
CIDs00091493,511145.b0870,0
CIDs00091493,511145.b0662,0
CIDs00091493,511145.b0849,0
CIDs00091493,511145.b1247,0
CIDs00091493,511145.b0729,0
CIDs00091493,511145.b3417,0
CIDs00091493,511145.b3197,0
CIDs00091493,511145.b0766,0
CIDs00091493,511145.b1637,0
CIDs00091493,511145.b0509,0
CIDs00091493,511145.b4382,0
CIDs00091493,511145.b4374,0
CIDs00091493,511145.b0070,0
CIDs00091493,511145.b3826,0
CIDs00091493,511145.b3639,0
CIDs00091493,511145.b2169,0
CIDs00091493,511145.b3475,0
CIDs00091493,511145.b2131,0
CIDs00091493,511145.b1525,0
CIDs00091493,511145.b4085,0
CIDs00091493,511145.b3620,0
CIDs00091493,511145.b0945,0
CIDs00091493,511145.b4169,0
CIDs00091493,511145.b0777,0
CIDs00091493,511145.b2827,0
CIDs00091493,511145.b4015,0
CIDs00091493,511145.b1901,0
CIDs00091493,511145.b2378,0
CIDs00091493,511145.b2465,0
CIDs00091493,511145.b0237,0
CIDs00091493,511145.b2253,0
CIDs00091493,511145.b3907,0
CIDs00091493,511145.b1200,0
CIDs00091493,511145.b1300,0
CIDs00091493,511145.b3390,0
CIDs00091493,511145.b3579,0
CIDs00091493,511145.b1851,0
CIDs00091493,511145.b2417,0
CIDs00091493,511145.b2893,0
CIDs00091493,511145.b2096,1
CIDs00091493,511145.b3288,0
CIDs00091493,511145.b4090,0
CIDs00091493,511145.b1014,0
CIDs00091493,511145.b3908,0
CIDs00091493,511145.b0425,0
CIDs00091493,511145.b2762,0
CIDs00091493,511145.b2533,0
CIDs00091493,511145.b2024,0
CIDs00091493,511145.b3752,0
CIDs00091493,511145.b0116,0
CIDs00091493,511145.b3631,0
CIDs00091493,511145.b4034,0
CIDs00091493,511145.b1651,0
CIDs00091493,511145.b3567,0
CIDs00091493,511145.b4079,0
CIDs00091493,511145.b1232,0
CIDs00091493,511145.b0194,0
CIDs00091493,511145.b2470,0
CIDs00091493,511145.b0355,0
CIDs00091493,511145.b0574,0
CIDs00091493,511145.b0839,0
CIDs00091493,511145.b2021,0
CIDs00091493,511145.b2287,0
CIDs00091493,511145.b2020,0
CIDs00091493,511145.b1252,0
CIDs00091493,511145.b0099,0
CIDs00091493,511145.b0784,0
CIDs00091493,511145.b3625,0
CIDs00091493,511145.b0123,0
CIDs00091493,511145.b1415,0
CIDs00091493,511145.b4384,0
CIDs00091493,511145.b3831,0
CIDs00091493,511145.b2040,0
CIDs00091493,511145.b1621,0
CIDs00091493,511145.b1773,0
CIDs00091493,511145.b0352,0
CIDs00091493,511145.b4268,0
CIDs00091493,511145.b2344,0
CIDs00091493,511145.b4322,0
CIDs00091493,511145.b0736,0
CIDs00091493,511145.b3926,0
CIDs00091493,511145.b3607,0
CIDs00091493,511145.b0029,0
CIDs00091493,511145.b2487,0
CIDs00091493,511145.b0893,0
CIDs00091493,511145.b0854,0
CIDs00091493,511145.b3236,0
CIDs00091493,511145.b1640,0
CIDs00091493,511145.b3384,0
CIDs00091493,511145.b1298,0
CIDs00091493,511145.b3073,0
CIDs00091493,511145.b0078,0
CIDs00091493,511145.b4290,0
CIDs00091493,511145.b4395,0
CIDs00091493,511145.b4209,0
CIDs00091493,511145.b3946,0
CIDs00091493,511145.b2215,0
CIDs00091493,511145.b1865,0
CIDs00091493,511145.b3967,0
CIDs00091493,511145.b2094,0
CIDs00091493,511145.b4069,0
CIDs00091493,511145.b3412,0
CIDs00091493,511145.b1489,0
CIDs00091493,511145.b2296,0
CIDs00091493,511145.b4288,0
CIDs00091493,511145.b2232,0
CIDs00091493,511145.b0038,0
CIDs00091493,511145.b4024,0
CIDs00091493,511145.b2265,0
CIDs00091493,511145.b1264,0
CIDs00091493,511145.b4386,0
CIDs00091493,511145.b1654,0
CIDs00091493,511145.b1781,0
CIDs00091493,511145.b3281,0
CIDs00091493,511145.b0585,0
CIDs00091493,511145.b2407,0
CIDs00091493,511145.b0632,0
CIDs00091493,511145.b2601,1
CIDs00091493,511145.b2414,0
CIDs00091493,511145.b0758,0
CIDs00091493,511145.b1092,0
CIDs00091493,511145.b2425,0
CIDs00091493,511145.b1302,0
CIDs00091493,511145.b0529,0
CIDs00091493,511145.b2499,0
CIDs00091493,511145.b3650,0
CIDs00091493,511145.b0026,0
CIDs00091493,511145.b1297,0
CIDs00091493,511145.b2290,0
CIDs00091493,511145.b0469,0
CIDs00091493,511145.b1392,0
CIDs00091493,511145.b3386,0
CIDs00091493,511145.b3789,0
CIDs00091493,511145.b1850,0
CIDs00091493,511145.b1107,0
CIDs00091493,511145.b2436,0
CIDs00091493,511145.b2599,0
CIDs00091493,511145.b4367,0
CIDs00091493,511145.b0323,0
CIDs00091493,511145.b3480,0
CIDs00091493,511145.b2938,0
CIDs00091493,511145.b1126,0
CIDs00091493,511145.b4240,0
CIDs00091493,511145.b0002,0
CIDs00091493,511145.b2994,0
CIDs00091493,511145.b2954,0
CIDs00091493,511145.b0477,0
CIDs00091493,511145.b1812,0
CIDs00091493,511145.b4122,0
CIDs00091493,511145.b1584,0
CIDs00091493,511145.b2418,0
CIDs00091493,511145.b0902,0
CIDs00091493,511145.b2920,0
CIDs00091493,511145.b2025,0
CIDs00091493,511145.b1682,0
CIDs00091493,511145.b4230,0
CIDs00091493,511145.b2388,0
CIDs00091493,511145.b0431,0
CIDs00091493,511145.b4258,0
CIDs00091493,511145.b3127,0
CIDs00091493,511145.b1779,0
CIDs00091493,511145.b1681,0
CIDs00091493,511145.b1243,0
CIDs00091493,511145.b0522,0
CIDs00091493,511145.b0351,0
CIDs00091493,511145.b0894,0
CIDs00091493,511145.b3526,0
CIDs00091493,511145.b0411,0
CIDs00091493,511145.b3368,0
CIDs00091493,511145.b0726,0
CIDs00091493,511145.b1246,0
CIDs00091493,511145.b3213,1
CIDs00091493,511145.b3212,0
CIDs00091493,511145.b2802,0
CIDs00091493,511145.b4233,0
CIDs00091493,511145.b2701,0
CIDs00091493,511145.b1238,0
CIDs00091493,511145.b2283,0
CIDs00091493,511145.b1054,0
CIDs00091493,511145.b1386,0
CIDs00091493,511145.b4161,1
CIDs00091493,511145.b1244,0
CIDs00091493,511145.b2914,0
CIDs00091493,511145.b1710,0
CIDs00091493,511145.b0621,1
CIDs00091493,511145.b3034,0
CIDs00091493,511145.b2818,0
CIDs00091493,511145.b0096,0
CIDs00091493,511145.b4119,0
CIDs00091493,511145.b3825,0
CIDs00091493,511145.b1602,0
CIDs00091493,511145.b3416,0
CIDs00091493,511145.b4388,0
CIDs00091493,511145.b2472,0
CIDs00091493,511145.b3599,0
CIDs00091493,511145.b0314,0
CIDs00091493,511145.b2484,0
CIDs00091493,511145.b2752,0
CIDs00091493,511145.b0181,0
CIDs00091493,511145.b0173,0
CIDs00091493,511145.b2286,0
CIDs00091493,511145.b1713,0
CIDs00091493,511145.b0030,0
CIDs00091493,511145.b3648,0
CIDs00091493,511145.b3479,0
CIDs00091493,511145.b0356,0
CIDs00091493,511145.b0052,0
CIDs00091493,511145.b0728,0
CIDs00091493,511145.b3449,0
CIDs00091493,511145.b1539,1
CIDs00091493,511145.b1291,0
CIDs00091493,511145.b1190,0
CIDs00091493,511145.b0074,0
CIDs00091493,511145.b3730,0
CIDs00091493,511145.b2784,0
CIDs00091493,511145.b0903,0
CIDs00091493,511145.b2528,0
CIDs00091493,511145.b0480,0
CIDs00091493,511145.b4213,0
CIDs00091493,511145.b1101,0
CIDs00091493,511145.b1467,0
CIDs00091493,511145.b0575,0
CIDs00091493,511145.b1215,1
CIDs00091493,511145.b2574,1
CIDs00091493,511145.b3125,0
CIDs00091493,511145.b1123,0
CIDs00091493,511145.b2421,0
CIDs00091493,511145.b3116,0
CIDs00091493,511145.b2799,0
CIDs00091493,511145.b2890,0
CIDs00091493,511145.b3785,0
CIDs00091493,511145.b3805,0
CIDs00091493,511145.b3500,1
CIDs00091493,511145.b0651,0
CIDs00091493,511145.b0474,0
CIDs00091493,511145.b0150,0
CIDs00091493,511145.b1623,0
CIDs00091493,511145.b0423,0
CIDs00091493,511145.b1468,0
CIDs00091493,511145.b1800,0
CIDs00091493,511145.b0019,0
CIDs00091493,511145.b3619,0
CIDs00091493,511145.b2498,0
CIDs00091493,511145.b1732,0
CIDs00091493,511145.b3833,0
CIDs00091493,511145.b0415,0
CIDs00091493,511145.b0344,0
CIDs00091493,511145.b3916,0
CIDs00091493,511145.b2374,0
CIDs00091493,511145.b0931,0
CIDs00091493,511145.b2428,1
CIDs00091493,511145.b3225,0
CIDs00091493,511145.b1991,0
CIDs00091493,511145.b4239,0
CIDs00091493,511145.b0421,0
CIDs00091493,511145.b0404,0
CIDs00091493,511145.b0032,0
CIDs00091493,511145.b0273,0
CIDs00091493,511145.b3380,0
CIDs00091493,511145.b0765,0
CIDs00091493,511145.b3843,0
CIDs00091493,511145.b0463,0
CIDs00091493,511145.b1241,0
CIDs00091493,511145.b2585,0
CIDs00091493,511145.b4088,0
CIDs00091493,511145.b3460,0
CIDs00091493,511145.b0186,0
CIDs00091493,511145.b3942,1
CIDs00091493,511145.b1276,0
CIDs00091493,511145.b2747,0
CIDs00091493,511145.b0775,0
CIDs00091493,511145.b0040,0
CIDs00091493,511145.b1872,0
CIDs00091493,511145.b1646,0
CIDs00091493,511145.b0887,0
CIDs00091493,511145.b1288,1
CIDs00091493,511145.b0507,0
CIDs00091493,511145.b0936,0
CIDs00091493,511145.b0783,0
CIDs00091493,511145.b0067,0
CIDs00091493,511145.b1487,0
CIDs00091493,511145.b2406,0
CIDs00091493,511145.b0593,0
CIDs00091493,511145.b2904,0
CIDs00091493,511145.b3091,0
CIDs00091493,511145.b2905,0
CIDs00091493,511145.b3040,0
CIDs00091493,511145.b0586,0
CIDs00091493,511145.b4238,0
CIDs00091493,511145.b1817,0
CIDs00091493,511145.b3041,0
CIDs00091493,511145.b2907,0
CIDs00091493,511145.b2779,0
CIDs00091493,511145.b3385,0
CIDs00091493,511145.b0114,0
CIDs00091493,511145.b1857,0
CIDs00091493,511145.b3714,0
CIDs00091493,511145.b3972,0
CIDs00091493,511145.b0333,0
CIDs00091493,511145.b1612,0
CIDs00091493,511145.b1385,0
CIDs00091493,511145.b0185,0
CIDs00091493,511145.b0131,0
CIDs00091493,511145.b1363,0
CIDs00091493,511145.b2285,0
CIDs00091493,511145.b0174,0
CIDs00091493,511145.b1136,1
CIDs00091493,511145.b2310,0
CIDs00091493,511145.b3453,0
CIDs00091493,511145.b1225,0
CIDs00091493,511145.b2529,0
CIDs00091493,511145.b2168,0
CIDs00091493,511145.b1896,0
CIDs00091493,511145.b4154,0
CIDs00091493,511145.b2038,0
CIDs00091493,511145.b0009,0
CIDs00091493,511145.b4041,0
CIDs00091493,511145.b1059,0
CIDs00091493,511145.b0750,0
CIDs00091493,511145.b3389,0
CIDs00091493,511145.b0071,0
CIDs00091493,511145.b0180,0
CIDs00091493,511145.b3786,0
CIDs00091493,511145.b0115,0
CIDs00091493,511145.b2308,0
CIDs00091493,511145.b3997,0
CIDs00091493,511145.b0221,0
CIDs00091493,511145.b1683,0
CIDs00091493,511145.b0381,0
CIDs00091493,511145.b2579,0
CIDs00091493,511145.b4054,0
CIDs00091493,511145.b4153,0
CIDs00091493,511145.b2288,0
CIDs00091493,511145.b0980,0
CIDs00091493,511145.b0674,0
CIDs00091493,511145.b3551,0
CIDs00091493,511145.b1197,0
CIDs00091493,511145.b4383,1
CIDs00091493,511145.b3409,0
CIDs00091493,511145.b0731,0
CIDs00091493,511145.b1208,0
CIDs00091493,511145.b4067,0
CIDs00091493,511145.b0594,0
CIDs00091493,511145.b3917,0
CIDs00091493,511145.b1622,0
CIDs00091493,511145.b0684,0
CIDs00091493,511145.b1927,0
CIDs00091493,511145.b2836,0
CIDs00091493,511145.b0134,0
CIDs00091493,511145.b1131,0
CIDs00091493,511145.b0388,0
CIDs00091493,511145.b3008,0
CIDs00091493,511145.b2976,0
CIDs00091493,511145.b0781,0
CIDs00091493,511145.b2690,0
CIDs00091493,511145.b0085,0
CIDs00091493,511145.b3172,1
CIDs00091493,511145.b0642,0
CIDs00091493,511145.b1661,0
CIDs00091493,511145.b3617,0
CIDs00091493,511145.b2411,1
CIDs00091493,511145.b0337,0
CIDs00091493,511145.b3731,0
CIDs00091493,511145.b1134,0
CIDs00091493,511145.b2093,0
CIDs00091493,511145.b0655,0
CIDs00091493,511145.b0166,0
CIDs00091493,511145.b3633,0
CIDs00091493,511145.b2523,0
CIDs00091493,511145.b2502,0
CIDs00091493,511145.b0109,1
CIDs00091493,511145.b1236,0
CIDs00091493,511145.b3951,0
CIDs00091493,511145.b2478,0
CIDs00091493,511145.b0182,0
CIDs00091493,511145.b3052,1
CIDs00091493,511145.b2800,0
CIDs00091493,511145.b1768,0
CIDs00091493,511145.b2514,0
CIDs00091493,511145.b2703,0
CIDs00091493,511145.b3176,0
CIDs00091493,511145.b0103,0
CIDs00091493,511145.b0403,0
CIDs00091493,511145.b2838,0
CIDs00091493,511145.b3693,0
CIDs00091493,511145.b2464,0
CIDs00091493,511145.b4035,0
CIDs00091493,511145.b4478,0
CIDs00091493,511145.b0126,0
CIDs00091493,511145.b4323,0
CIDs00091493,511145.b2316,0
CIDs00091493,511145.b2889,0
CIDs00091493,511145.b3962,1
CIDs00091493,511145.b2917,0
CIDs00091493,511145.b3939,0
CIDs00091493,511145.b1588,0
CIDs00091493,511145.b3728,0
