meta,protein,target,source
CIDs00000051,511145.b0072,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0073,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0074,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0077,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0078,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0080,False,pmidb_ecoil
CIDs00000051,511145.b0082,False,pmidb_ecoil
CIDs00000051,511145.b0085,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0086,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0088,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0090,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0091,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0092,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0094,False,pmidb_ecoil
CIDs00000051,511145.b0095,False,pmidb_ecoil
CIDs00000051,511145.b0096,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0098,False,pmidb_ecoil
CIDs00000051,511145.b0099,0,piazza
CIDs00000051,511145.b0101,False,pmidb_ecoil
CIDs00000051,511145.b0102,False,pmidb_ecoil
CIDs00000051,511145.b0103,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0104,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0109,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0110,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0113,False,pmidb_ecoil
CIDs00000051,511145.b0114,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0115,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0116,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0118,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0119,False,pmidb_ecoil
CIDs00000051,511145.b0120,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0121,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0122,False,pmidb_ecoil
CIDs00000051,511145.b0123,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0125,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0126,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0131,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0133,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0134,True,piazza;pmidb_ecoil
CIDs00000051,511145.b0142,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0143,False,pmidb_ecoil
CIDs00000051,511145.b0145,False,pmidb_ecoil
CIDs00000051,511145.b0146,False,pmidb_ecoil
CIDs00000051,511145.b0148,False,pmidb_ecoil
CIDs00000051,511145.b0150,0,piazza
CIDs00000051,511145.b0151,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0152,0,piazza
CIDs00000051,511145.b0153,0,piazza
CIDs00000051,511145.b0154,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0156,False,pmidb_ecoil
CIDs00000051,511145.b0158,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0159,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0160,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0161,False,pmidb_ecoil
CIDs00000051,511145.b0162,False,pmidb_ecoil
CIDs00000051,511145.b0163,False,pmidb_ecoil
CIDs00000051,511145.b0166,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0167,False,pmidb_ecoil
CIDs00000051,511145.b0168,False,pmidb_ecoil
CIDs00000051,511145.b0169,False,pmidb_ecoil
CIDs00000051,511145.b0170,False,pmidb_ecoil
CIDs00000051,511145.b0171,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0172,False,pmidb_ecoil
CIDs00000051,511145.b0173,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0174,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0177,False,pmidb_ecoil
CIDs00000051,511145.b0178,False,pmidb_ecoil
CIDs00000051,511145.b0179,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0180,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0181,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0182,0,piazza
CIDs00000051,511145.b0184,False,pmidb_ecoil
CIDs00000051,511145.b0185,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0186,0,piazza
CIDs00000051,511145.b0187,False,pmidb_ecoil
CIDs00000051,511145.b0188,False,pmidb_ecoil
CIDs00000051,511145.b0189,False,pmidb_ecoil
CIDs00000051,511145.b0190,False,pmidb_ecoil
CIDs00000051,511145.b0194,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0195,False,pmidb_ecoil
CIDs00000051,511145.b0197,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0199,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0200,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0207,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0208,False,pmidb_ecoil
CIDs00000051,511145.b0212,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0214,False,pmidb_ecoil
CIDs00000051,511145.b0215,False,pmidb_ecoil
CIDs00000051,511145.b0219,False,pmidb_ecoil
CIDs00000051,511145.b0220,False,pmidb_ecoil
CIDs00000051,511145.b0221,0,piazza
CIDs00000051,511145.b0222,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0223,False,pmidb_ecoil
CIDs00000051,511145.b0224,False,pmidb_ecoil
CIDs00000051,511145.b0226,False,pmidb_ecoil
CIDs00000051,511145.b0227,False,pmidb_ecoil
CIDs00000051,511145.b0237,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0238,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0239,False,pmidb_ecoil
CIDs00000051,511145.b0242,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0243,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0254,False,pmidb_ecoil
CIDs00000051,511145.b0261,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0269,False,pmidb_ecoil
CIDs00000051,511145.b0271,False,pmidb_ecoil
CIDs00000051,511145.b0272,False,pmidb_ecoil
CIDs00000051,511145.b0273,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0283,False,pmidb_ecoil
CIDs00000051,511145.b0304,False,pmidb_ecoil
CIDs00000051,511145.b0307,0,piazza
CIDs00000051,511145.b0308,0,piazza
CIDs00000051,511145.b0312,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0314,0,piazza
CIDs00000051,511145.b0318,False,pmidb_ecoil
CIDs00000051,511145.b0323,0,piazza
CIDs00000051,511145.b0324,False,pmidb_ecoil
CIDs00000051,511145.b0325,False,pmidb_ecoil
CIDs00000051,511145.b0329,False,pmidb_ecoil
CIDs00000051,511145.b0331,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0333,0,piazza
CIDs00000051,511145.b0334,0,piazza
CIDs00000051,511145.b0337,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0344,0,piazza
CIDs00000051,511145.b0345,False,pmidb_ecoil
CIDs00000051,511145.b0346,False,pmidb_ecoil
CIDs00000051,511145.b0351,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0352,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0353,0,piazza
CIDs00000051,511145.b0354,False,pmidb_ecoil
CIDs00000051,511145.b0355,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0356,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0357,False,pmidb_ecoil
CIDs00000051,511145.b0363,False,pmidb_ecoil
CIDs00000051,511145.b0368,0,piazza
CIDs00000051,511145.b0369,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0376,False,pmidb_ecoil
CIDs00000051,511145.b0381,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0382,False,pmidb_ecoil
CIDs00000051,511145.b0383,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0386,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0387,False,pmidb_ecoil
CIDs00000051,511145.b0388,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0389,False,pmidb_ecoil
CIDs00000051,511145.b0390,False,pmidb_ecoil
CIDs00000051,511145.b0391,False,pmidb_ecoil
CIDs00000051,511145.b0393,False,pmidb_ecoil
CIDs00000051,511145.b0394,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0397,False,pmidb_ecoil
CIDs00000051,511145.b0398,False,pmidb_ecoil
CIDs00000051,511145.b0399,False,pmidb_ecoil
CIDs00000051,511145.b0403,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0404,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0405,False,pmidb_ecoil
CIDs00000051,511145.b0406,False,pmidb_ecoil
CIDs00000051,511145.b0407,False,pmidb_ecoil
CIDs00000051,511145.b0410,False,pmidb_ecoil
CIDs00000051,511145.b0411,0,piazza
CIDs00000051,511145.b0413,False,pmidb_ecoil
CIDs00000051,511145.b0414,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0415,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0416,False,pmidb_ecoil
CIDs00000051,511145.b0417,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0419,False,pmidb_ecoil
CIDs00000051,511145.b0420,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0421,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0422,False,pmidb_ecoil
CIDs00000051,511145.b0423,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0424,False,pmidb_ecoil
CIDs00000051,511145.b0425,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0426,False,pmidb_ecoil
CIDs00000051,511145.b0428,0,piazza
CIDs00000051,511145.b0431,0,piazza
CIDs00000051,511145.b0432,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0434,False,pmidb_ecoil
CIDs00000051,511145.b0435,False,pmidb_ecoil
CIDs00000051,511145.b0436,False,pmidb_ecoil
CIDs00000051,511145.b0437,False,pmidb_ecoil
CIDs00000051,511145.b0438,False,pmidb_ecoil
CIDs00000051,511145.b0439,False,pmidb_ecoil
CIDs00000051,511145.b0440,True,pmidb_ecoil
CIDs00000051,511145.b0441,False,pmidb_ecoil
CIDs00000051,511145.b0443,False,pmidb_ecoil
CIDs00000051,511145.b0444,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0450,False,pmidb_ecoil
CIDs00000051,511145.b0451,0,piazza
CIDs00000051,511145.b0452,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0453,False,pmidb_ecoil
CIDs00000051,511145.b0454,False,pmidb_ecoil
CIDs00000051,511145.b0459,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0460,False,pmidb_ecoil
CIDs00000051,511145.b0462,0,piazza
CIDs00000051,511145.b0463,0,piazza
CIDs00000051,511145.b0469,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0470,False,pmidb_ecoil
CIDs00000051,511145.b0471,False,pmidb_ecoil
CIDs00000051,511145.b0472,False,pmidb_ecoil
CIDs00000051,511145.b0473,False,pmidb_ecoil
CIDs00000051,511145.b0474,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0477,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0480,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0481,False,pmidb_ecoil
CIDs00000051,511145.b0483,False,pmidb_ecoil
CIDs00000051,511145.b0484,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0485,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0490,False,pmidb_ecoil
CIDs00000051,511145.b0492,False,pmidb_ecoil
CIDs00000051,511145.b0494,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0506,False,pmidb_ecoil
CIDs00000051,511145.b0507,0,piazza
CIDs00000051,511145.b0509,0,piazza
CIDs00000051,511145.b0515,False,pmidb_ecoil
CIDs00000051,511145.b0516,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0517,0,piazza
CIDs00000051,511145.b0522,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0523,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0525,False,pmidb_ecoil
CIDs00000051,511145.b0526,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0528,False,pmidb_ecoil
CIDs00000051,511145.b0529,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0545,False,pmidb_ecoil
CIDs00000051,511145.b0565,False,pmidb_ecoil
CIDs00000051,511145.b0567,False,pmidb_ecoil
CIDs00000051,511145.b0571,False,pmidb_ecoil
CIDs00000051,511145.b0572,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0573,True,piazza;pmidb_ecoil
CIDs00000051,511145.b0574,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0575,0,piazza
CIDs00000051,511145.b0578,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0579,False,pmidb_ecoil
CIDs00000051,511145.b0581,False,pmidb_ecoil
CIDs00000051,511145.b0585,0,piazza
CIDs00000051,511145.b0586,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0588,0,piazza
CIDs00000051,511145.b0592,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0593,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0594,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0595,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0596,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0599,False,pmidb_ecoil
CIDs00000051,511145.b0600,False,pmidb_ecoil
CIDs00000051,511145.b0604,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0605,False,pmidb_ecoil
CIDs00000051,511145.b0606,False,pmidb_ecoil
CIDs00000051,511145.b0607,False,pmidb_ecoil
CIDs00000051,511145.b0610,False,pmidb_ecoil
CIDs00000051,511145.b0611,False,pmidb_ecoil
CIDs00000051,511145.b0621,0,piazza
CIDs00000051,511145.b0623,False,pmidb_ecoil
CIDs00000051,511145.b0628,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0630,0,piazza
CIDs00000051,511145.b0631,False,pmidb_ecoil
CIDs00000051,511145.b0632,0,piazza
CIDs00000051,511145.b0635,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0636,False,pmidb_ecoil
CIDs00000051,511145.b0637,False,pmidb_ecoil
CIDs00000051,511145.b0639,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0642,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0643,False,pmidb_ecoil
CIDs00000051,511145.b0646,False,pmidb_ecoil
CIDs00000051,511145.b0650,0,piazza
CIDs00000051,511145.b0651,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0652,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0654,0,piazza
CIDs00000051,511145.b0655,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0657,0,piazza
CIDs00000051,511145.b0658,False,pmidb_ecoil
CIDs00000051,511145.b0659,False,pmidb_ecoil
CIDs00000051,511145.b0660,False,pmidb_ecoil
CIDs00000051,511145.b0661,False,pmidb_ecoil
CIDs00000051,511145.b0662,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0674,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0675,False,pmidb_ecoil
CIDs00000051,511145.b0676,False,pmidb_ecoil
CIDs00000051,511145.b0677,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0678,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0679,0,piazza
CIDs00000051,511145.b0680,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0683,False,pmidb_ecoil
CIDs00000051,511145.b0684,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0686,False,pmidb_ecoil
CIDs00000051,511145.b0687,False,pmidb_ecoil
CIDs00000051,511145.b0688,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0694,False,pmidb_ecoil
CIDs00000051,511145.b0710,False,pmidb_ecoil
CIDs00000051,511145.b0711,False,pmidb_ecoil
CIDs00000051,511145.b0712,False,pmidb_ecoil
CIDs00000051,511145.b0713,False,pmidb_ecoil
CIDs00000051,511145.b0714,False,pmidb_ecoil
CIDs00000051,511145.b0720,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0723,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0724,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0726,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0727,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0728,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0729,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0730,False,pmidb_ecoil
CIDs00000051,511145.b0731,0,piazza
CIDs00000051,511145.b0732,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0736,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0739,False,pmidb_ecoil
CIDs00000051,511145.b0740,False,pmidb_ecoil
CIDs00000051,511145.b0741,False,pmidb_ecoil
CIDs00000051,511145.b0742,False,pmidb_ecoil
CIDs00000051,511145.b0750,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0753,False,pmidb_ecoil
CIDs00000051,511145.b0754,True,piazza;pmidb_ecoil
CIDs00000051,511145.b0755,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0756,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0757,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0758,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0759,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0760,False,pmidb_ecoil
CIDs00000051,511145.b0761,False,pmidb_ecoil
CIDs00000051,511145.b0763,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0765,0,piazza
CIDs00000051,511145.b0766,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0767,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0773,False,pmidb_ecoil
CIDs00000051,511145.b0774,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0775,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0776,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0777,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0778,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0779,False,pmidb_ecoil
CIDs00000051,511145.b0780,False,pmidb_ecoil
CIDs00000051,511145.b0781,0,piazza
CIDs00000051,511145.b0782,False,pmidb_ecoil
CIDs00000051,511145.b0783,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0784,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0785,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0789,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0792,False,pmidb_ecoil
CIDs00000051,511145.b0796,False,pmidb_ecoil
CIDs00000051,511145.b0797,False,pmidb_ecoil
CIDs00000051,511145.b0800,False,pmidb_ecoil
CIDs00000051,511145.b0801,False,pmidb_ecoil
CIDs00000051,511145.b0803,False,pmidb_ecoil
CIDs00000051,511145.b0804,False,pmidb_ecoil
CIDs00000051,511145.b0807,False,pmidb_ecoil
CIDs00000051,511145.b0809,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0811,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0812,False,pmidb_ecoil
CIDs00000051,511145.b0817,False,pmidb_ecoil
CIDs00000051,511145.b0819,False,pmidb_ecoil
CIDs00000051,511145.b0820,False,pmidb_ecoil
CIDs00000051,511145.b0821,False,pmidb_ecoil
CIDs00000051,511145.b0822,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0825,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0826,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0827,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0828,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0829,0,piazza
CIDs00000051,511145.b0830,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0835,False,pmidb_ecoil
CIDs00000051,511145.b0838,False,pmidb_ecoil
CIDs00000051,511145.b0839,0,piazza
CIDs00000051,511145.b0844,False,pmidb_ecoil
CIDs00000051,511145.b0849,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0851,False,pmidb_ecoil
CIDs00000051,511145.b0853,False,pmidb_ecoil
CIDs00000051,511145.b0854,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0855,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0860,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0863,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0864,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0866,False,pmidb_ecoil
CIDs00000051,511145.b0870,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0871,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0876,False,pmidb_ecoil
CIDs00000051,511145.b0877,False,pmidb_ecoil
CIDs00000051,511145.b0880,False,pmidb_ecoil
CIDs00000051,511145.b0881,False,pmidb_ecoil
CIDs00000051,511145.b0882,False,pmidb_ecoil
CIDs00000051,511145.b0884,False,pmidb_ecoil
CIDs00000051,511145.b0887,0,piazza
CIDs00000051,511145.b0888,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0889,False,pmidb_ecoil
CIDs00000051,511145.b0890,False,pmidb_ecoil
CIDs00000051,511145.b0891,False,pmidb_ecoil
CIDs00000051,511145.b0892,False,pmidb_ecoil
CIDs00000051,511145.b0893,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0894,0,piazza
CIDs00000051,511145.b0897,False,pmidb_ecoil
CIDs00000051,511145.b0901,False,pmidb_ecoil
CIDs00000051,511145.b0902,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0903,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0905,False,pmidb_ecoil
CIDs00000051,511145.b0907,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0908,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0910,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0911,True,pmidb_ecoil
CIDs00000051,511145.b0912,False,pmidb_ecoil
CIDs00000051,511145.b0914,0,piazza
CIDs00000051,511145.b0917,False,pmidb_ecoil
CIDs00000051,511145.b0918,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0920,False,pmidb_ecoil
CIDs00000051,511145.b0921,False,pmidb_ecoil
CIDs00000051,511145.b0922,False,pmidb_ecoil
CIDs00000051,511145.b0923,False,pmidb_ecoil
CIDs00000051,511145.b0924,False,pmidb_ecoil
CIDs00000051,511145.b0927,False,pmidb_ecoil
CIDs00000051,511145.b0928,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0929,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0930,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0931,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0932,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0933,0,piazza
CIDs00000051,511145.b0936,0,piazza
CIDs00000051,511145.b0945,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0947,False,pmidb_ecoil
CIDs00000051,511145.b0948,False,pmidb_ecoil
CIDs00000051,511145.b0949,False,pmidb_ecoil
CIDs00000051,511145.b0954,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0956,False,pmidb_ecoil
CIDs00000051,511145.b0957,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0961,False,pmidb_ecoil
CIDs00000051,511145.b0962,False,pmidb_ecoil
CIDs00000051,511145.b0963,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0965,False,pmidb_ecoil
CIDs00000051,511145.b0966,False,pmidb_ecoil
CIDs00000051,511145.b0967,False,pmidb_ecoil
CIDs00000051,511145.b0968,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0969,False,pmidb_ecoil
CIDs00000051,511145.b0972,0,piazza
CIDs00000051,511145.b0974,0,piazza
CIDs00000051,511145.b0980,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0983,False,pmidb_ecoil
CIDs00000051,511145.b0992,False,pmidb_ecoil
CIDs00000051,511145.b0997,0,piazza
CIDs00000051,511145.b0998,False,pmidb_ecoil
CIDs00000051,511145.b0999,False,pmidb_ecoil
CIDs00000051,511145.b1000,False,pmidb_ecoil
CIDs00000051,511145.b1002,False,piazza;pmidb_ecoil
CIDs00000051,511145.b1003,False,pmidb_ecoil
CIDs00000051,511145.b1004,True,pmidb_ecoil
CIDs00000051,511145.b1007,0,piazza
CIDs00000051,511145.b1013,False,pmidb_ecoil
CIDs00000051,511145.b1014,False,piazza;pmidb_ecoil
CIDs00000051,511145.b1018,False,pmidb_ecoil
CIDs00000051,511145.b1019,False,pmidb_ecoil
CIDs00000051,511145.b1023,False,pmidb_ecoil
CIDs00000051,511145.b1033,False,piazza;pmidb_ecoil
CIDs00000051,511145.b1034,False,pmidb_ecoil
CIDs00000051,511145.b1035,False,pmidb_ecoil
CIDs00000051,511145.b1045,False,pmidb_ecoil
CIDs00000051,511145.b1048,False,pmidb_ecoil
CIDs00000051,511145.b1051,False,pmidb_ecoil
CIDs00000051,511145.b1054,0,piazza
CIDs00000051,511145.b1055,False,pmidb_ecoil
CIDs00000051,511145.b1056,False,pmidb_ecoil
CIDs00000051,511145.b1059,False,piazza;pmidb_ecoil
CIDs00000051,511145.b1062,False,piazza;pmidb_ecoil
CIDs00000051,511145.b1064,False,piazza;pmidb_ecoil
CIDs00000051,511145.b1066,False,pmidb_ecoil
CIDs00000051,511145.b1067,False,pmidb_ecoil
CIDs00000051,511145.b1068,False,pmidb_ecoil
CIDs00000051,511145.b1071,False,pmidb_ecoil
CIDs00000051,511145.b1084,False,pmidb_ecoil
CIDs00000051,511145.b1086,False,pmidb_ecoil
CIDs00000051,511145.b1087,False,pmidb_ecoil
CIDs00000051,511145.b1088,False,pmidb_ecoil
CIDs00000051,511145.b1089,True,pmidb_ecoil
CIDs00000051,511145.b1091,False,piazza;pmidb_ecoil
